location,date,daily_vaccinations_per_million,people_vaccinated,total_vaccinations
World,2020-12-01,0.0,1.0,1.0
World,2020-12-02,0.0,1.0,1.0
World,2020-12-03,0.0,1.0,1.0
World,2020-12-04,0.0,2.0,2.0
World,2020-12-05,0.0,2.0,2.0
World,2020-12-06,0.0,2.0,2.0
World,2020-12-07,0.0,2.0,2.0
World,2020-12-08,0.0,2.0,2.0
World,2020-12-09,0.0,3.0,3.0
World,2020-12-10,0.0,3.0,3.0
World,2020-12-11,0.0,3.0,3.0
World,2020-12-12,0.0,3.0,3.0
World,2020-12-13,2.0,86468.0,86468.0
World,2020-12-14,2.0,86473.0,86473.0
World,2020-12-15,29.0,115692.0,1615692.0
World,2020-12-16,29.0,117994.0,1617994.0
World,2020-12-17,29.0,122181.0,1622181.0
World,2020-12-18,29.0,126167.0,1626167.0
World,2020-12-19,30.0,126954.0,1626954.0
World,2020-12-20,49.0,1280218.0,2780218.0
World,2020-12-21,51.0,1371167.0,2871167.0
World,2020-12-22,24.0,1445053.0,2945053.0
World,2020-12-23,33.0,1949697.0,3449721.0
World,2020-12-24,35.0,2048152.0,3548177.0
World,2020-12-25,36.0,2091878.0,3591903.0
World,2020-12-26,53.0,3068655.0,4568680.0
World,2020-12-27,42.0,3570372.0,5070413.0
World,2020-12-28,47.0,3941110.0,5444841.0
World,2020-12-29,50.0,4213413.0,5718531.0
World,2020-12-30,59.0,5207906.0,6713071.0
World,2020-12-31,118.0,5487118.0,10027252.0
World,2021-01-01,119.0,5606782.0,10146926.0
World,2021-01-02,144.0,7966129.0,12506350.0
World,2021-01-03,146.0,8586236.0,13126461.0
World,2021-01-04,154.0,9395541.0,13947536.0
World,2021-01-05,178.0,10140098.0,15520363.0
World,2021-01-06,178.0,11016618.0,16539285.0
World,2021-01-07,141.0,12177735.0,17783042.0
World,2021-01-08,164.0,13463525.0,19202608.0
World,2021-01-09,211.0,13753734.0,24120939.0
World,2021-01-10,229.0,15735396.0,25754462.0
World,2021-01-11,271.0,18701141.0,28861837.0
World,2021-01-12,265.0,19787742.0,30120464.0
World,2021-01-13,310.0,21020393.0,33604671.0
World,2021-01-14,332.0,22489289.0,36082385.0
World,2021-01-15,356.0,24454844.0,38833932.0
World,2021-01-16,288.0,25290998.0,40001513.0
World,2021-01-17,273.0,25898076.0,40778634.0
World,2021-01-18,245.0,27056291.0,42346474.0
World,2021-01-19,314.0,31272939.0,47450441.0
World,2021-01-20,388.0,33359274.0,54999206.0
World,2021-01-21,398.0,35619643.0,58004902.0
World,2021-01-22,415.0,38560277.0,61713207.0
World,2021-01-23,450.0,41014926.0,64835139.0
World,2021-01-24,480.0,42947981.0,67235190.0
World,2021-01-25,500.0,45068443.0,69921231.0
World,2021-01-26,455.0,46835679.0,72515813.0
World,2021-01-27,519.0,49353714.0,83622065.0
World,2021-01-28,543.0,52273491.0,87923534.0
World,2021-01-29,552.0,55132328.0,92145459.0
World,2021-01-30,564.0,57803076.0,95951793.0
World,2021-01-31,597.0,59925956.0,100147390.0
World,2021-02-01,603.0,61882682.0,103151295.0
World,2021-02-02,604.0,63605492.0,105785158.0
World,2021-02-03,600.0,65996410.0,116693128.0
World,2021-02-04,607.0,69055709.0,121390934.0
World,2021-02-05,609.0,71959577.0,125706634.0
World,2021-02-06,619.0,74855961.0,130085878.0
World,2021-02-07,605.0,77100891.0,133502570.0
World,2021-02-08,611.0,79256224.0,136809530.0
World,2021-02-09,795.0,81631277.0,149602374.0
World,2021-02-10,686.0,84862234.0,154494991.0
World,2021-02-11,690.0,88057582.0,159412886.0
World,2021-02-12,714.0,94344904.0,165070670.0
World,2021-02-13,727.0,97473918.0,170141995.0
World,2021-02-14,733.0,99890710.0,173921726.0
World,2021-02-15,730.0,101970755.0,177056140.0
World,2021-02-16,603.0,105715943.0,182856381.0
World,2021-02-17,604.0,108841985.0,187769195.0
World,2021-02-18,627.0,112618698.0,193993443.0
World,2021-02-19,625.0,118286822.0,199531633.0
World,2021-02-20,617.0,121185625.0,204134417.0
World,2021-02-21,609.0,123205852.0,207478651.0
World,2021-02-22,619.0,125562935.0,211203141.0
World,2021-02-23,597.0,131000762.0,215752243.0
World,2021-02-24,608.0,134670100.0,221285141.0
World,2021-02-25,607.0,138435950.0,227453805.0
World,2021-02-26,623.0,142372023.0,233870000.0
World,2021-02-27,640.0,145679651.0,239438828.0
World,2021-02-28,875.0,148693884.0,255700680.0
World,2021-03-01,899.0,152095605.0,260748741.0
World,2021-03-02,1007.0,159680082.0,271282652.0
World,2021-03-03,1038.0,164598518.0,278522782.0
World,2021-03-04,1081.0,170340272.0,287027428.0
World,2021-03-05,1114.0,176113931.0,295258140.0
World,2021-03-06,1149.0,181178661.0,302761358.0
World,2021-03-07,948.0,184949918.0,307965734.0
World,2021-03-08,983.0,190039941.0,314914228.0
World,2021-03-09,918.0,195050388.0,321899961.0
World,2021-03-10,947.0,201218212.0,330703815.0
World,2021-03-11,943.0,206449619.0,338989506.0
World,2021-03-12,971.0,213333521.0,348791399.0
World,2021-03-13,1018.0,220899926.0,358872162.0
World,2021-03-14,1224.0,224077267.0,375436922.0
World,2021-03-15,1277.0,230976368.0,385331757.0
World,2021-03-16,1302.0,236387869.0,393678003.0
World,2021-03-17,1332.0,243021067.0,404119878.0
World,2021-03-18,1360.0,249834430.0,413969784.0
World,2021-03-19,1406.0,258380988.0,426315876.0
World,2021-03-20,1580.0,265978445.0,445949878.0
World,2021-03-21,1385.0,270008670.0,451785325.0
World,2021-03-22,1496.0,277653312.0,467803282.0
World,2021-03-23,1578.0,285080333.0,480655341.0
World,2021-03-24,1641.0,292964309.0,494574966.0
World,2021-03-25,1758.0,300481209.0,510878952.0
World,2021-03-26,1868.0,309279393.0,529312391.0
World,2021-03-27,1784.0,316367154.0,544287656.0
World,2021-03-28,1877.0,320896647.0,555278809.0
World,2021-03-29,1862.0,327565740.0,570434580.0
World,2021-03-30,1867.0,333650852.0,583547148.0
World,2021-03-31,1959.0,343849827.0,602555337.0
World,2021-04-01,2028.0,352797727.0,622696932.0
World,2021-04-02,2083.0,363082199.0,644117316.0
World,2021-04-03,2063.0,370875137.0,658028017.0
World,2021-04-04,2087.0,377851125.0,670347458.0
World,2021-04-05,2056.0,385709549.0,683789151.0
World,2021-04-06,2108.0,394882522.0,699761919.0
World,2021-04-07,2090.0,405236617.0,717771948.0
World,2021-04-08,2145.0,417497942.0,740946659.0
World,2021-04-09,2138.0,427975263.0,761946715.0
World,2021-04-10,2221.0,438330989.0,780447879.0
World,2021-04-11,2234.0,445988601.0,793479541.0
World,2021-04-12,2320.0,455544250.0,811668127.0
World,2021-04-13,2378.0,466434773.0,830853309.0
World,2021-04-14,2382.0,476661697.0,849074485.0
World,2021-04-15,2293.0,485559018.0,867366427.0
World,2021-04-16,2226.0,493964107.0,884657064.0
World,2021-04-17,2138.0,500831583.0,898314167.0
World,2021-04-18,2156.0,507873180.0,912315997.0
World,2021-04-19,2103.0,515575559.0,927569683.0
World,2021-04-20,1981.0,522255797.0,940036294.0
World,2021-04-21,1982.0,530280292.0,958312524.0
World,2021-04-22,2051.0,538917551.0,980447469.0
World,2021-04-23,2079.0,546752722.0,999262785.0
World,2021-04-24,2071.0,551561267.0,1012454940.0
World,2021-04-25,2165.0,560803465.0,1031642764.0
World,2021-04-26,2192.0,567695992.0,1048419691.0
World,2021-04-27,2321.0,575095083.0,1067987082.0
World,2021-04-28,2444.0,585296186.0,1093026606.0
World,2021-04-29,2485.0,594169671.0,1117457883.0
World,2021-04-30,2604.0,601714211.0,1142804037.0
World,2021-05-01,2640.0,606910219.0,1158002379.0
World,2021-05-02,2512.0,611195696.0,1170096155.0
World,2021-05-03,2455.0,616204644.0,1183776942.0
World,2021-05-04,2441.0,623304912.0,1202527040.0
World,2021-05-05,2344.0,631178960.0,1222240410.0
World,2021-05-06,2333.0,639492410.0,1246090364.0
World,2021-05-07,2360.0,648035147.0,1272880004.0
World,2021-05-08,2445.0,653178583.0,1292774266.0
World,2021-05-09,2504.0,658369462.0,1308145626.0
World,2021-05-10,2674.0,666427546.0,1331205117.0
World,2021-05-11,2785.0,675720631.0,1356023350.0
World,2021-05-12,2907.0,684341267.0,1382487551.0
World,2021-05-13,2964.0,692021250.0,1409464765.0
World,2021-05-14,2956.0,699388590.0,1435848287.0
World,2021-05-15,3024.0,705807992.0,1459445071.0
World,2021-05-16,3163.0,711944561.0,1482518630.0
World,2021-05-17,3237.0,719392481.0,1509670092.0
World,2021-05-18,3289.0,727842363.0,1537331545.0
World,2021-05-19,3310.0,736070852.0,1564966890.0
World,2021-05-20,3446.0,746378278.0,1599428404.0
World,2021-05-21,3515.0,754274842.0,1629630012.0
World,2021-05-22,3586.0,762931421.0,1657098678.0
World,2021-05-23,3585.0,772225143.0,1680150138.0
